Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|Field=LibRef~String~LibRef~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~sbcp-master.PrjPcb|ReportField=ProjectFullPath~Z:\oncilla-hardware\electronics\SBCP_master\sbcp-master.PrjPcb|ReportField=Title~Bill of Materials For Project [sbcp-master.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~37|ReportField=ReportTime~18:47:57|ReportField=ReportDate~17/03/2014|ReportField=ReportDateTime~17/03/2014 18:47:57|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Title~Master communication board|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~17/03/2014|ReportField=CurrentTime~18:47:55|ReportField=Date~|ReportField=DocumentFullPathAndName~Z:\oncilla-hardware\electronics\SBCP_master\sbcp-master.SchDoc|ReportField=DocumentName~sbcp-master.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~17/03/2014|ReportField=Organization~|ReportField=ProjectName~sbcp-master.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~|ReportField=Time~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~sbcp-master.PrjPcb|ReportField=DataSourceFullPath~Z:\oncilla-hardware\electronics\SBCP_master\sbcp-master.PrjPcb
1uF, 35V|Capacitor|C1, C41|CAPC1608N|2|Cap
10uF|Capacitor|C11|CAPC1608N|1|Cap
100nF|Capacitor|C12, C13, C71|CAPC1005N|3|Cap
22uF, 6.3V|Polarized Capacitor|C42|1608-10|1|Cap Pol2
SS0503EC-TR-H|Schottky Diode|D1, D2|RESC1005N|2|D Schottky
LED Yellow|LED|D3, D4, D5, D11|RESC1005N|4|LED
Ferrit 0.35R 500mA|Ferrit Bead|F1, F2|RESC1608N_R|2|Fuse 1
Bornier à vis|Header, 2-Pin|P1|CONN_100MIL_2|1|Header 2
MM4-SMD|Header, 4-Pin|P2|MM4-SMD|1|Header 4
Header 5X2|Header, 5-Pin, Dual row|P3|HDR2X5|1|Header 5X2
2SK3547G0L|N-Channel MOSFET 100mA, 50V, 12R|Q1, Q2, Q3, Q11|SSS-Mini-3P|4|nFET
100K|Resistor|R1|RESC1005N|1|Res1
270R|Resistor|R2, R3, R4, R11|RESC1005N|4|Res1
10K|Resistor|R13, R18|RESC1005N|2|Res1
EVPAA|Push button|S11|EVPAA|1|Push button
TP|Test Point|TP1, TP2, TP3|TPLOGI|3|TP
dsPIC33FJ128MC802-I/MM|High-Performance 16-bit Digital Signal Controller, 128 KB Flash, 16 KB RAM, 28-Pin QFN, Industrial Temperature|U1|QFNS-MM28_M_SmallExp|1|dsPIC33FJ128MC802-I/MM
MIC5239-3.3YMM|LDO, 500mA, Vin:2.3V-30V|U4|MSOP-8|1|MIC5239
ADM3078E|Half-Duplex RS485 Transciever, 3.3V, 16Mbps|U7|SOIC-8_M|1|ADM3078E
FH19C-6S-0.5SH|Board to flexible PCB/wire connector|X11|FH19C-6S-0.5SH|1|FH19C-6
