Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|Field=LibRef~String~LibRef~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~load-cell.PrjPCB|ReportField=ProjectFullPath~Z:\oncilla-hardware\electronics\load-cell-drivers\load-cell.PrjPCB|ReportField=Title~load-cell_bom For Project [load-cell.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~33|ReportField=ReportTime~19:37:45|ReportField=ReportDate~18/03/2014|ReportField=ReportDateTime~18/03/2014 19:37:45|ReportField=OutputName~load-cell_bom|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Title~Load cell|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~18/03/2014|ReportField=CurrentTime~19:37:43|ReportField=Date~|ReportField=DocumentFullPathAndName~Z:\oncilla-hardware\electronics\load-cell-drivers\load-cell.SchDoc|ReportField=DocumentName~load-cell.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~18/03/2014|ReportField=Organization~|ReportField=ProjectName~load-cell.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=DataSourceFileName~load-cell.PrjPCB|ReportField=DataSourceFullPath~Z:\oncilla-hardware\electronics\load-cell-drivers\load-cell.PrjPCB
10nF|Capacitor|C1, C3, C5, C9, C11, C12, C13, C15, C16|CAPC1608L|9|Cap
100nF|Capacitor|C2, C6, C8, C10, C14|CAPC1608L|5|Cap
10uF|Capacitor|C4, C7|CAPC1608L|2|Cap
LED Green|LED|D1|RESC1005N|1|LED
250mA, 0.75R|Ferrit Bead|F1, F2, F3|RESC1608L|3|Fuse 1
100R|Resistor|R1, R2, R3, R4, R7, R8|RESC1608L|6|Res1
470R|Resistor|R5|RESC1608L|1|Res1
xR|Resistor|R6|RESC1608L|1|Res1
AD7193|4-channel 24-bit ADC with PGA|U1|TSSOP65-28N-NO_TP|1|AD7193_TSSOP
SM08B-SURS|wire-to-board connector|X1|SM08B-SURS|1|SM08B-SURS
282834-4|4-pin connector with screw contacts|X2, X3, X4|282834-4|3|4x1 282834-4
